% Model:              3D 2024-05-17.mph
% Version:            COMSOL 6.0.0.318
% Date:               Jun 13 2024, 00:35
% Dimension:          3
% Nodes:              101
% Expressions:        4
% Description:        , , , 
% Length unit:        mm
% X                       Y                        Z                        real(u) (mm) @ freq=2E5  imag(u) (mm) @ freq=2E5  real(w) (mm) @ freq=2E5  imag(w) (mm) @ freq=2E5
3.15905                   0                        1.93436E-16              -3.3385908615508646E-7   4.570526690103286E-7     7.336696579334272E-9     1.3351642417599998E-6
3.1586700000000003        0                        -0.049129000000000006    -3.007302851200389E-7    4.383298483467589E-7     1.0064580573417967E-8    1.3400405306063768E-6
3.15752                   0                        -0.0982461               -2.684112130386399E-7    4.198605004696845E-7     1.21671042067168E-8      1.3449218584565155E-6
3.15561                   0                        -0.147339                -2.3686992996944047E-7   4.016556963507439E-7     1.3645727635257883E-8    1.3498072874789758E-6
3.1529400000000005        0                        -0.196397                -2.0607522300959105E-7   3.837248896945746E-7     1.4494809524580296E-8    1.3547000772127193E-6
3.14951                   0                        -0.24540700000000001     -1.759968673831581E-7    3.6607801611603717E-7    1.4708076354104153E-8    1.3596034638246006E-6
3.14531                   0                        -0.294358                -1.4660414984451317E-7   3.487233689456726E-7     1.4272037211570679E-8    1.3645249992999883E-6
3.14035                   0                        -0.343238                -1.1786343728497979E-7   3.3167021754628373E-7    1.3186251575618907E-8    1.3694643759806562E-6
3.13463                   0                        -0.3920350000000001      -8.974232422829996E-8    3.149268858618849E-7     1.1443014468832552E-8    1.3744254052986986E-6
3.1281600000000003        0                        -0.440736                -6.220765850002537E-8    2.985020227854984E-7     9.04103337402926E-9      1.379407983740759E-6
3.12092                   0                        -0.489332                -3.522641268546904E-8    2.824012875315994E-7     5.957911882783597E-9     1.384424413077801E-6
3.11294                   0                        -0.537808                -8.764523114096903E-9    2.666338993480284E-7     2.205322532533242E-9     1.3894667103299839E-6
3.1042                    0                        -0.586155                1.7211839009305104E-8    2.512047334770847E-7     -2.240134771789849E-9    1.3945474511607175E-6
3.09471                   0                        -0.63436                 4.273657017955736E-8     2.361206689593436E-7     -7.381487096053114E-9    1.399667062022357E-6
