% x, y, z, R, phi, psi, real(u_asym), imag(u_asym), real(v_asym), imag(v_asym), real(w_asym), imag(w_asym)
  0.315905E+001  0.000000E+000  0.193436E-015  0.315905E+001  0.000000E+000  0.157080E+001  0.449685E-019  0.326716E-019  0.000000E+000  0.000000E+000  0.196909E-018 -0.597163E-019
  0.315867E+001  0.000000E+000 -0.491290E-001  0.315905E+001  0.000000E+000  0.158635E+001 -0.119095E-004 -0.782080E-005  0.000000E+000  0.000000E+000 -0.488997E-004  0.179600E-004
  0.315752E+001  0.000000E+000 -0.982461E-001  0.315905E+001  0.000000E+000  0.160190E+001 -0.247334E-004 -0.145346E-004  0.000000E+000  0.000000E+000 -0.951323E-004  0.412884E-004
  0.315561E+001  0.000000E+000 -0.147339E+000  0.315905E+001  0.000000E+000  0.161745E+001 -0.383531E-004 -0.199321E-004  0.000000E+000  0.000000E+000 -0.138085E-003  0.695795E-004
  0.315294E+001  0.000000E+000 -0.196397E+000  0.315905E+001  0.000000E+000  0.163301E+001 -0.526181E-004 -0.238343E-004  0.000000E+000  0.000000E+000 -0.177225E-003  0.102334E-003
  0.314951E+001  0.000000E+000 -0.245407E+000  0.315905E+001  0.000000E+000  0.164856E+001 -0.673528E-004 -0.260974E-004  0.000000E+000  0.000000E+000 -0.212113E-003  0.138980E-003
  0.314531E+001  0.000000E+000 -0.294358E+000  0.315905E+001  0.000000E+000  0.166411E+001 -0.823644E-004 -0.266161E-004  0.000000E+000  0.000000E+000 -0.242417E-003  0.178895E-003
  0.314035E+001  0.000000E+000 -0.343238E+000  0.315905E+001  0.000000E+000  0.167966E+001 -0.974503E-004 -0.253250E-004  0.000000E+000  0.000000E+000 -0.267912E-003  0.221427E-003
  0.313463E+001  0.000000E+000 -0.392035E+000  0.315905E+001  0.000000E+000  0.169522E+001 -0.112406E-003 -0.221972E-004  0.000000E+000  0.000000E+000 -0.288483E-003  0.265921E-003
  0.312816E+001  0.000000E+000 -0.440736E+000  0.315905E+001  0.000000E+000  0.171077E+001 -0.127033E-003 -0.172424E-004  0.000000E+000  0.000000E+000 -0.304114E-003  0.311737E-003
  0.312092E+001  0.000000E+000 -0.489332E+000  0.315905E+001  0.000000E+000  0.172632E+001 -0.141142E-003 -0.105026E-004  0.000000E+000  0.000000E+000 -0.314883E-003  0.358268E-003
  0.311294E+001  0.000000E+000 -0.537808E+000  0.315905E+001  0.000000E+000  0.174187E+001 -0.154562E-003 -0.204787E-005  0.000000E+000  0.000000E+000 -0.320947E-003  0.404953E-003
  0.310420E+001  0.000000E+000 -0.586155E+000  0.315905E+001  0.000000E+000  0.175743E+001 -0.167138E-003  0.802918E-005  0.000000E+000  0.000000E+000 -0.322525E-003  0.451286E-003
  0.309471E+001  0.000000E+000 -0.634360E+000  0.315905E+001  0.000000E+000  0.177298E+001 -0.178741E-003  0.196186E-004  0.000000E+000  0.000000E+000 -0.319892E-003  0.496825E-003
  0.308447E+001  0.000000E+000 -0.682412E+000  0.315905E+001  0.000000E+000  0.178853E+001 -0.189258E-003  0.325983E-004  0.000000E+000  0.000000E+000 -0.313355E-003  0.541189E-003
  0.307348E+001  0.000000E+000 -0.730298E+000  0.315905E+001  0.000000E+000  0.180408E+001 -0.198604E-003  0.468387E-004  0.000000E+000  0.000000E+000 -0.303247E-003  0.584065E-003
  0.306175E+001  0.000000E+000 -0.778008E+000  0.315905E+001  0.000000E+000  0.181964E+001 -0.206709E-003  0.622068E-004  0.000000E+000  0.000000E+000 -0.289914E-003  0.625199E-003
  0.304928E+001  0.000000E+000 -0.825530E+000  0.315905E+001  0.000000E+000  0.183519E+001 -0.213529E-003  0.785702E-004  0.000000E+000  0.000000E+000 -0.273704E-003  0.664396E-003
  0.303607E+001  0.000000E+000 -0.872852E+000  0.315905E+001  0.000000E+000  0.185074E+001 -0.219033E-003  0.957992E-004  0.000000E+000  0.000000E+000 -0.254961E-003  0.701513E-003
  0.302213E+001  0.000000E+000 -0.919963E+000  0.315905E+001  0.000000E+000  0.186629E+001 -0.223207E-003  0.113770E-003  0.000000E+000  0.000000E+000 -0.234018E-003  0.736454E-003
  0.300746E+001  0.000000E+000 -0.966851E+000  0.315905E+001  0.000000E+000  0.188185E+001 -0.226053E-003  0.132365E-003  0.000000E+000  0.000000E+000 -0.211191E-003  0.769164E-003
  0.299206E+001  0.000000E+000 -0.101351E+001  0.315905E+001  0.000000E+000  0.189740E+001 -0.227582E-003  0.151477E-003  0.000000E+000  0.000000E+000 -0.186779E-003  0.799623E-003
  0.297594E+001  0.000000E+000 -0.105991E+001  0.315905E+001  0.000000E+000  0.191295E+001 -0.227815E-003  0.171005E-003  0.000000E+000  0.000000E+000 -0.161061E-003  0.827841E-003
  0.295909E+001  0.000000E+000 -0.110607E+001  0.315905E+001  0.000000E+000  0.192850E+001 -0.226784E-003  0.190860E-003  0.000000E+000  0.000000E+000 -0.134294E-003  0.853853E-003
  0.294153E+001  0.000000E+000 -0.115195E+001  0.315905E+001  0.000000E+000  0.194405E+001 -0.224525E-003  0.210962E-003  0.000000E+000  0.000000E+000 -0.106712E-003  0.877711E-003
  0.292326E+001  0.000000E+000 -0.119756E+001  0.315905E+001  0.000000E+000  0.195961E+001 -0.221078E-003  0.231239E-003  0.000000E+000  0.000000E+000 -0.785299E-004  0.899485E-003
  0.290428E+001  0.000000E+000 -0.124288E+001  0.315905E+001  0.000000E+000  0.197516E+001 -0.216490E-003  0.251632E-003  0.000000E+000  0.000000E+000 -0.499413E-004  0.919258E-003
  0.288460E+001  0.000000E+000 -0.128789E+001  0.315905E+001  0.000000E+000  0.199071E+001 -0.210808E-003  0.272087E-003  0.000000E+000  0.000000E+000 -0.211207E-004  0.937120E-003
  0.286423E+001  0.000000E+000 -0.133260E+001  0.315905E+001  0.000000E+000  0.200626E+001 -0.204085E-003  0.292563E-003  0.000000E+000  0.000000E+000  0.777515E-005  0.953170E-003
  0.284316E+001  0.000000E+000 -0.137698E+001  0.315905E+001  0.000000E+000  0.202182E+001 -0.196373E-003  0.313026E-003  0.000000E+000  0.000000E+000  0.366059E-004  0.967511E-003
  0.282140E+001  0.000000E+000 -0.142103E+001  0.315905E+001  0.000000E+000  0.203737E+001 -0.187724E-003  0.333449E-003  0.000000E+000  0.000000E+000  0.652461E-004  0.980248E-003
  0.279896E+001  0.000000E+000 -0.146474E+001  0.315905E+001  0.000000E+000  0.205292E+001 -0.178194E-003  0.353814E-003  0.000000E+000  0.000000E+000  0.935835E-004  0.991489E-003
  0.277584E+001  0.000000E+000 -0.150809E+001  0.315905E+001  0.000000E+000  0.206847E+001 -0.167838E-003  0.374113E-003  0.000000E+000  0.000000E+000  0.121518E-003  0.100134E-002
  0.275205E+001  0.000000E+000 -0.155108E+001  0.315905E+001  0.000000E+000  0.208403E+001 -0.156713E-003  0.394342E-003  0.000000E+000  0.000000E+000  0.148959E-003  0.100992E-002
  0.272759E+001  0.000000E+000 -0.159369E+001  0.315905E+001  0.000000E+000  0.209958E+001 -0.144874E-003  0.414508E-003  0.000000E+000  0.000000E+000  0.175827E-003  0.101732E-002
  0.270248E+001  0.000000E+000 -0.163591E+001  0.315905E+001  0.000000E+000  0.211513E+001 -0.132381E-003  0.434622E-003  0.000000E+000  0.000000E+000  0.202047E-003  0.102367E-002
  0.267671E+001  0.000000E+000 -0.167774E+001  0.315905E+001  0.000000E+000  0.213068E+001 -0.119293E-003  0.454707E-003  0.000000E+000  0.000000E+000  0.227551E-003  0.102905E-002
