% x, y, z, R, phi, psi, real(u), imag(u), real(v), imag(v), real(w), imag(w)
  0.947716E+002  0.000000E+000  0.580309E-014  0.947716E+002  0.000000E+000  0.157080E+001  0.867931E-004 -0.472258E-004  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.947601E+002  0.000000E+000 -0.147387E+001  0.947716E+002  0.000000E+000  0.158635E+001  0.236957E-004 -0.743616E-005  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.947257E+002  0.000000E+000 -0.294738E+001  0.947716E+002  0.000000E+000  0.160190E+001 -0.761423E-005  0.111384E-004  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.946684E+002  0.000000E+000 -0.442018E+001  0.947716E+002  0.000000E+000  0.161745E+001 -0.212805E-004  0.183860E-004  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.945883E+002  0.000000E+000 -0.589191E+001  0.947716E+002  0.000000E+000  0.163301E+001 -0.251879E-004  0.197030E-004  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.944852E+002  0.000000E+000 -0.736222E+001  0.947716E+002  0.000000E+000  0.164856E+001 -0.237620E-004  0.181710E-004  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.943593E+002  0.000000E+000 -0.883075E+001  0.947716E+002  0.000000E+000  0.166411E+001 -0.195602E-004  0.156188E-004  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.942105E+002  0.000000E+000 -0.102971E+002  0.947716E+002  0.000000E+000  0.167966E+001 -0.141566E-004  0.131253E-004  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.940390E+002  0.000000E+000 -0.117610E+002  0.947716E+002  0.000000E+000  0.169522E+001 -0.859751E-005  0.112582E-004  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.938447E+002  0.000000E+000 -0.132221E+002  0.947716E+002  0.000000E+000  0.171077E+001 -0.360840E-005  0.102044E-004  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.936277E+002  0.000000E+000 -0.146799E+002  0.947716E+002  0.000000E+000  0.172632E+001  0.331064E-006  0.986692E-005  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.933881E+002  0.000000E+000 -0.161343E+002  0.947716E+002  0.000000E+000  0.174187E+001  0.296768E-005  0.996102E-005  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
